Locale,File,Missing_Keys_Count,TODO_Entries_Count,Total_Tasks,Missing_Keys_List,TODO_Keys_List
lv,app_lv.arb,0,71,71,"","refresh;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;playtimeChooseFriends;playtimeChooseTime;success;undo;createVirtualSession;redo;search;playtimeLiveScheduled;download;playtimeCreate;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;noResults;playtimeModeLive;done;playtimeHub;error;createLiveSession;welcomeToPlaytime;viewAll;playtimeVirtual;cut;retry;noGamesYet;select;about;choose;logout;paste;playtimeCreateSession;upload;upcomingSessions;confirm;playtimeLive;playtimeGameDeleted;copy;createNew;settings;playtimeReject;edit;add;playtimeGameApproved;forgotPassword;quickActions;playtimeTitle;previous;scheduledFor;playtimeAdminPanelTitle;playtimeApprove;createYourFirstSession;playtimeGameRejected;recentGames;confirmPassword;share;playtimeEnterGameName;createGame;playtimeNoSessions;playtimeParentDashboardTitle;back;playtimeChooseGame;pleaseLoginToViewProfile"
mk,app_mk.arb,0,166,166,"","refresh;home;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;decline;adminBroadcast;login;playtimeChooseFriends;noInvites;playtimeChooseTime;success;undo;opened;createVirtualSession;messageSentSuccessfully;redo;next;search;cancelInviteConfirmation;created;revokeAccess;saveGroupForRecognition;playtimeLiveScheduled;revokeAccessConfirmation;download;password;errorLoadingFamilyLinks;cancel;playtimeCreate;failedToActionPrivacyRequest;appTitle;accept;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;recipients;noResults;yes;invite;playtimeModeLive;done;defaultShareMessage;no;playtimeHub;error;createLiveSession;enableNotifications;invited;content;meetingSharedSuccessfully;welcomeToPlaytime;viewAll;playtimeVirtual;staffScreenTBD;cut;inviteCancelledSuccessfully;retry;composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
ms,app_ms.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
mt,app_mt.arb,0,166,166,"","refresh;home;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;decline;adminBroadcast;login;playtimeChooseFriends;noInvites;playtimeChooseTime;success;undo;opened;createVirtualSession;messageSentSuccessfully;redo;next;search;cancelInviteConfirmation;created;revokeAccess;saveGroupForRecognition;playtimeLiveScheduled;revokeAccessConfirmation;download;password;errorLoadingFamilyLinks;cancel;playtimeCreate;failedToActionPrivacyRequest;appTitle;accept;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;recipients;noResults;yes;invite;playtimeModeLive;done;defaultShareMessage;no;playtimeHub;error;createLiveSession;enableNotifications;invited;content;meetingSharedSuccessfully;welcomeToPlaytime;viewAll;playtimeVirtual;staffScreenTBD;cut;inviteCancelledSuccessfully;retry;composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
nl,app_nl.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
no,app_no.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
pl,app_pl.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
pt,app_pt.arb,0,103,103,"","composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
pt_BR,app_pt_BR.arb,19,0,19,"adminScreenTBD;back;clicked;close;createGame;failedToRevokeAccess;groupNameOptional;knownGroupDetected;link;managePermissions;meetingReadyMessage;myInvites;pendingInvites;playtimeChooseGame;playtimeNoSessions;playtimeParentDashboardTitle;pleaseLoginForFamilyFeatures;pollOptions;statusColon",""
ro,app_ro.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
ru,app_ru.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
sk,app_sk.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
sl,app_sl.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
sq,app_sq.arb,0,166,166,"","refresh;home;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;decline;adminBroadcast;login;playtimeChooseFriends;noInvites;playtimeChooseTime;success;undo;opened;createVirtualSession;messageSentSuccessfully;redo;next;search;cancelInviteConfirmation;created;revokeAccess;saveGroupForRecognition;playtimeLiveScheduled;revokeAccessConfirmation;download;password;errorLoadingFamilyLinks;cancel;playtimeCreate;failedToActionPrivacyRequest;appTitle;accept;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;recipients;noResults;yes;invite;playtimeModeLive;done;defaultShareMessage;no;playtimeHub;error;createLiveSession;enableNotifications;invited;content;meetingSharedSuccessfully;welcomeToPlaytime;viewAll;playtimeVirtual;staffScreenTBD;cut;inviteCancelledSuccessfully;retry;composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
sr,app_sr.arb,0,166,166,"","refresh;home;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;decline;adminBroadcast;login;playtimeChooseFriends;noInvites;playtimeChooseTime;success;undo;opened;createVirtualSession;messageSentSuccessfully;redo;next;search;cancelInviteConfirmation;created;revokeAccess;saveGroupForRecognition;playtimeLiveScheduled;revokeAccessConfirmation;download;password;errorLoadingFamilyLinks;cancel;playtimeCreate;failedToActionPrivacyRequest;appTitle;accept;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;recipients;noResults;yes;invite;playtimeModeLive;done;defaultShareMessage;no;playtimeHub;error;createLiveSession;enableNotifications;invited;content;meetingSharedSuccessfully;welcomeToPlaytime;viewAll;playtimeVirtual;staffScreenTBD;cut;inviteCancelledSuccessfully;retry;composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
sv,app_sv.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
th,app_th.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
tr,app_tr.arb,19,0,19,"adminScreenTBD;back;clicked;close;createGame;failedToRevokeAccess;groupNameOptional;knownGroupDetected;link;managePermissions;meetingReadyMessage;myInvites;pendingInvites;playtimeChooseGame;playtimeNoSessions;playtimeParentDashboardTitle;pleaseLoginForFamilyFeatures;pollOptions;statusColon",""
uk,app_uk.arb,19,0,19,"adminScreenTBD;back;clicked;close;createGame;failedToRevokeAccess;groupNameOptional;knownGroupDetected;link;managePermissions;meetingReadyMessage;myInvites;pendingInvites;playtimeChooseGame;playtimeNoSessions;playtimeParentDashboardTitle;pleaseLoginForFamilyFeatures;pollOptions;statusColon",""
ur,app_ur.arb,0,71,71,"","refresh;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;playtimeChooseFriends;playtimeChooseTime;success;undo;createVirtualSession;redo;search;playtimeLiveScheduled;download;playtimeCreate;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;noResults;playtimeModeLive;done;playtimeHub;error;createLiveSession;welcomeToPlaytime;viewAll;playtimeVirtual;cut;retry;noGamesYet;select;about;choose;logout;paste;playtimeCreateSession;upload;upcomingSessions;confirm;playtimeLive;playtimeGameDeleted;copy;createNew;settings;playtimeReject;edit;add;playtimeGameApproved;forgotPassword;quickActions;playtimeTitle;previous;scheduledFor;playtimeAdminPanelTitle;playtimeApprove;createYourFirstSession;playtimeGameRejected;recentGames;confirmPassword;share;playtimeEnterGameName;createGame;playtimeNoSessions;playtimeParentDashboardTitle;back;playtimeChooseGame;pleaseLoginToViewProfile"
vi,app_vi.arb,2,18,20,"failedToRevokeAccess;pleaseLoginForFamilyFeatures","pleaseLoginToViewProfile;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
zh,app_zh.arb,1,0,1,"pleaseLoginForFamilyFeatures",""
